visual_material,candidate_sionna_material,old_confidence,old_reason,strict_reason,slot_count,object_count,face_count,texture_files,objects_preview,required_action
Leaves_Foliage_3,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,50,50,44225,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Eucalyptus_Med03_Leaves_FoliageNode;Eucalyptus_Med03_Leaves_FoliageNode.001;Eucalyptus_Med03_Leaves_FoliageNode.002;Eucalyptus_Med03_Leaves_FoliageNode.003;Eucalyptus_Med03_Leaves_FoliageNode.004;Eucalyptus_Med03_Leaves_FoliageNode.005;Eucalyptus_Med03_Leaves_FoliageNode.006;Eucalyptus_Med03_Leaves_FoliageNode.007;Eucalyptus_Med03_Leaves_FoliageNode.008;Eucalyptus_Med03_Leaves_FoliageNode.009;Eucalyptus_Med03_Leaves_FoliageNode.010;Eucalyptus_Med03_Leaves_FoliageNode.011;Eucalyptus_Med03_Leaves_FoliageNode.012;Eucalyptus_Med03_Leaves_FoliageNode.013;Eucalyptus_Med03_Leaves_FoliageNode.014;Eucalyptus_Med03_Leaves_FoliageNode.015;Eucalyptus_Med03_Leaves_FoliageNode.016;Eucalyptus_Med03_Leaves_FoliageNode.017;Eucalyptus_Med03_Leaves_FoliageNode.018;Eucalyptus_Med03_Leaves_FoliageNode.019,manual confirm or create custom Sionna material
Leaves_Foliage_4,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,82,82,167198,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Eucalyptus_Sm04_Leaves_FoliageNode;Eucalyptus_Sm04_Leaves_FoliageNode.001;Eucalyptus_Sm04_Leaves_FoliageNode.002;Eucalyptus_Sm04_Leaves_FoliageNode.003;Eucalyptus_Sm04_Leaves_FoliageNode.004;Eucalyptus_Sm04_Leaves_FoliageNode.005;Eucalyptus_Sm04_Leaves_FoliageNode.006;Eucalyptus_Sm04_Leaves_FoliageNode.007;Eucalyptus_Sm04_Leaves_FoliageNode.008;Eucalyptus_Sm04_Leaves_FoliageNode.009;Eucalyptus_Sm04_Leaves_FoliageNode.010;Eucalyptus_Sm04_Leaves_FoliageNode.011;Eucalyptus_Sm04_Leaves_FoliageNode.012;Eucalyptus_Sm04_Leaves_FoliageNode.013;Eucalyptus_Sm04_Leaves_FoliageNode.014;Eucalyptus_Sm04_Leaves_FoliageNode.015;Eucalyptus_Sm04_Leaves_FoliageNode.016;Eucalyptus_Sm04_Leaves_FoliageNode.017;Eucalyptus_Sm04_Leaves_FoliageNode.018;Eucalyptus_Sm04_Leaves_FoliageNode.019,manual confirm or create custom Sionna material
Leaves_Foliage_5,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,146,146,11972,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Eucalyptus_Sm01_Leaves_FoliageNode;Eucalyptus_Sm01_Leaves_FoliageNode.001;Eucalyptus_Sm01_Leaves_FoliageNode.002;Eucalyptus_Sm01_Leaves_FoliageNode.003;Eucalyptus_Sm01_Leaves_FoliageNode.004;Eucalyptus_Sm01_Leaves_FoliageNode.005;Eucalyptus_Sm01_Leaves_FoliageNode.006;Eucalyptus_Sm01_Leaves_FoliageNode.007;Eucalyptus_Sm01_Leaves_FoliageNode.008;Eucalyptus_Sm01_Leaves_FoliageNode.009;Eucalyptus_Sm01_Leaves_FoliageNode.010;Eucalyptus_Sm01_Leaves_FoliageNode.011;Eucalyptus_Sm01_Leaves_FoliageNode.012;Eucalyptus_Sm01_Leaves_FoliageNode.013;Eucalyptus_Sm01_Leaves_FoliageNode.014;Eucalyptus_Sm01_Leaves_FoliageNode.015;Eucalyptus_Sm01_Leaves_FoliageNode.016;Eucalyptus_Sm01_Leaves_FoliageNode.017;Eucalyptus_Sm01_Leaves_FoliageNode.018;Eucalyptus_Sm01_Leaves_FoliageNode.019,manual confirm or create custom Sionna material
Leaves_Foliage_6,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,1,1,10141,CoulterPineLeaves_Diff.png;CoulterPineLeaves_Norm.png;CoulterPineLeaves_Spec.png,CoulPine_Sm01_Leaves_FoliageNode,manual confirm or create custom Sionna material
Leaves_Foliage_7,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,2,2,1858,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Eucalyptus_Sm03_Leaves_FoliageNode;Eucalyptus_Sm03_Leaves_FoliageNode.001,manual confirm or create custom Sionna material
Leaves_Foliage_8,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,3,3,5922,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Eucalyptus_Med02_Leaves_FoliageNode;Eucalyptus_Med02_Leaves_FoliageNode.001;Eucalyptus_Med02_Leaves_FoliageNode.002,manual confirm or create custom Sionna material
Leaves_Foliage_9,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,1,1,5439,CoulterPineLeaves_Diff.png;CoulterPineLeaves_Norm.png;CoulterPineLeaves_Spec.png,CoulPine_Med01_Leaves_FoliageNode,manual confirm or create custom Sionna material
Light_material_Prop,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,1,1,268,Signals_Lights01_Diff.png,TrafficCamera01_PropNode,manual confirm or create custom Sionna material
Light_material_Prop_1,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,5,5,2270,Signals_Lights01_Diff.png,Pole_4Signal_Single01_mesh_PropNode;Pole_4Signal_Single01_mesh_PropNode.001;Pole_4Signal_Single01_mesh_PropNode.002;Pole_4Signal_Single01_mesh_PropNode.003;Pole_4Signal_Single01_mesh_PropNode.004,manual confirm or create custom Sionna material
Light_material_Prop_2,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,2,2,908,Signals_Lights01_Diff.png,Pole_4Signal_Twin01_mesh_PropNode;Pole_4Signal_Twin01_mesh_PropNode.001,manual confirm or create custom Sionna material
Light_material_Signal,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,8,8,9456,Signals_Lights01_Diff.png,RootNode_SignalNode;RootNode_SignalNode.001;RootNode_SignalNode.002;RootNode_SignalNode.003;RootNode_SignalNode.004;RootNode_SignalNode.005;RootNode_SignalNode.006;RootNode_SignalNode.007,manual confirm or create custom Sionna material
Light_material_Signal_1,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,4,4,1072,Signals_Lights01_Diff.png,RootNode_Signal_1Node;RootNode_Signal_1Node.001;RootNode_Signal_1Node.002;RootNode_Signal_1Node.003,manual confirm or create custom Sionna material
Light_material_Signal_2,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,4,4,1608,Signals_Lights01_Diff.png,RootNode_Signal_2Node;RootNode_Signal_2Node.001;RootNode_Signal_2Node.002;RootNode_Signal_2Node.003,manual confirm or create custom Sionna material
Light_material_Signal_3,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,8,8,7520,Signals_Lights01_Diff.png,RootNode_Signal_3Node;RootNode_Signal_3Node.001;RootNode_Signal_3Node.002;RootNode_Signal_3Node.003;RootNode_Signal_3Node.004;RootNode_Signal_3Node.005;RootNode_Signal_3Node.006;RootNode_Signal_3Node.007,manual confirm or create custom Sionna material
Light_material_Signal_4,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,18,18,9540,Signals_Lights01_Diff.png,RootNode_Signal_4Node;RootNode_Signal_4Node.001;RootNode_Signal_4Node.002;RootNode_Signal_4Node.003;RootNode_Signal_4Node.004;RootNode_Signal_4Node.005;RootNode_Signal_4Node.006;RootNode_Signal_4Node.007;RootNode_Signal_4Node.008;RootNode_Signal_4Node.009;RootNode_Signal_4Node.010;RootNode_Signal_4Node.011;RootNode_Signal_4Node.012;RootNode_Signal_4Node.013;RootNode_Signal_4Node.014;RootNode_Signal_4Node.015;RootNode_Signal_4Node.016;RootNode_Signal_4Node.017,manual confirm or create custom Sionna material
Light_material_Signal_5,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,1,1,402,Signals_Lights01_Diff.png,RootNode_Signal_5Node,manual confirm or create custom Sionna material
Light_material_Signal_6,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,10,10,6180,Signals_Lights01_Diff.png,RootNode_Signal_6Node;RootNode_Signal_6Node.001;RootNode_Signal_6Node.002;RootNode_Signal_6Node.003;RootNode_Signal_6Node.004;RootNode_Signal_6Node.005;RootNode_Signal_6Node.006;RootNode_Signal_6Node.007;RootNode_Signal_6Node.008;RootNode_Signal_6Node.009,manual confirm or create custom Sionna material
Mailbox_Mat_Prop,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,3,3,5454,MailboxandClock_Diff.png;MailboxandClock_Norm.png;MailboxandClock_Spec.png,mailbox_PropNode;mailbox_PropNode.001;mailbox_PropNode.002,manual confirm or create custom Sionna material
MetalWood_Trim1_Building,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,3,3,23820,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,manual confirm or create custom Sionna material
MetalWood_Trim27_Building,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,2,2,792,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode;Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode.001,manual confirm or create custom Sionna material
MetalWood_Trim27_Building_1,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,6,6,1740,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_6mX15m_01_2storey0_mesh1_BuildingNode;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.001;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.002;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.003;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.004;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
MetalWood_Trim30_Building,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,12,12,36240,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.001;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.002;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.003;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.004;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.005;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.006;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.007;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.008;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.009;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.010;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.011,manual confirm or create custom Sionna material
MetalWood_Trim30_Building_1,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,6,6,8364,MetalWood_Trim_Diff.png;MetalWood_Trim_Spec.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,manual confirm or create custom Sionna material
MetalWood_Trim31_Building,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,5,5,3550,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,manual confirm or create custom Sionna material
MetalWood_Trim_Building,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,5,5,29750,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004,manual confirm or create custom Sionna material
MetalWood_Trim_Building_1,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,1,1,67,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_9mX14m_01_1storey_mesh_BuildingNode,manual confirm or create custom Sionna material
MetalWood_Trim_Building_10,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,3,3,17802,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_15mX30m_01_5storey_Mesh0_BuildingNode;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.001;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.002,manual confirm or create custom Sionna material
MetalWood_Trim_Building_11,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,4,4,8032,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_14mX15m_Corner_02_5storey0_BuildingNode;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.001;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.002;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.003,manual confirm or create custom Sionna material
MetalWood_Trim_Building_2,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,4,4,680,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_30mX45m_Corner_5storey_mesh_BuildingNode;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.001;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.002;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.003,manual confirm or create custom Sionna material
MetalWood_Trim_Building_3,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,2,2,4224,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,manual confirm or create custom Sionna material
MetalWood_Trim_Building_4,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,3,3,900,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_15mX30m_11storey_mesh_BuildingNode;Downtown_15mX30m_11storey_mesh_BuildingNode.001;Downtown_15mX30m_11storey_mesh_BuildingNode.002,manual confirm or create custom Sionna material
MetalWood_Trim_Building_5,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,2,2,3968,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,manual confirm or create custom Sionna material
MetalWood_Trim_Building_6,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,1,1,3974,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_30mX30m_02_5storey0_mesh_BuildingNode,manual confirm or create custom Sionna material
MetalWood_Trim_Building_7,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,1,1,10998,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,_30mX30m_8storey_mesh_BuildingNode,manual confirm or create custom Sionna material
